"filename", "language", "YAML", "C++", "Markdown", "HTML", "Swift", "JSON", "Dart", "XML", "PlantUML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 40
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 11, 1, 45
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\constants\app_answer_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\constants\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 1, 8, 207
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\models\app_quiz.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\models\question_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\models\state.dart", "Dart", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 32, 36, 367
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\responsive_layout\laptop_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 5, 91
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\responsive_layout\mobile_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 4, 90
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\responsive_layout\responsive_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\responsive_layout\tablet_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 4, 94
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\credit_screen\app_credit_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 5, 102
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\home_screen\app_home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\information_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 8, 9, 174
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\questions_screen\app_questions_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 3, 6, 262
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\questions_screen\questionnaire_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 7, 50
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\result_screens\final_screen_decider.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 4, 49
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\result_screens\results_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 14, 6, 248
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\lib\screens\result_screens\tie_breaker_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 4, 5, 193
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\linux\my_application.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\pubspec.yaml", "YAML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 17, 104
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\test\test.puml", "PlantUML", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 21, 95
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 11, 7, 31
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\web\index.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\issam\Desktop\Testing Space GitHub\Public\Sorting Hat Flutter\SortingHat\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 33, 546, 27, 38, 54, 248, 1856, 469, 74, 8, 89, 404, 437, 4283
